Pris,kWh
2.6666,594
1.9104,725
2.0314,896
0.3775,299
0.3168,328
2.1607,705
1.2230,419
1.0259,617
1.3232,655
2.8992,912
2.4018,23
2.6631,665
1.7684,216
2.9590,233
1.9680,441
0.5275,478
0.5527,118
0.0301,526
2.7857,12
1.3518,781
2.4777,473
2.0907,848
0.7617,454
2.1525,51
2.4099,990
2.7470,149
2.3298,966
2.4525,213
2.2669,515
2.4019,531
0.0740,136
1.4184,993
2.5058,691
2.4839,519
1.8031,354
0.5680,644
0.6489,647
1.2754,946
0.0564,954
2.2375,950
2.0986,253
0.3835,70
1.9445,748
2.9074,781
1.7680,462
2.4820,938
1.8279,673
1.0936,121
1.9364,136
2.5409,605
2.5684,924
2.0602,496
1.8114,72
2.5775,183
1.5159,307
1.1940,639
0.5723,300
0.6545,207
0.5287,882
2.4942,756
1.9352,893
0.8183,174
2.8639,681
1.3809,336
1.1834,122
1.7693,863
2.9024,653
1.5984,907
0.3281,644
2.6927,821
2.0630,469
2.8208,603
1.1876,972
1.2422,626
1.7387,653
1.0962,236
2.5662,351
0.7644,812
2.5948,143
0.5083,420
1.3234,15
0.1544,174
1.0235,185
0.1058,853
0.5171,898
0.1141,601
1.1194,666
2.4716,181
2.3078,168
2.7518,870
1.9419,371
1.3914,371
0.6116,888
2.9099,117
1.7724,878
1.8861,424
1.4094,741
2.9718,338
1.5306,509
0.7589,199
1.3936,747
0.0057,873
0.3128,222
1.3815,996
1.3959,229
0.6882,907
0.3389,257
1.6244,600
0.9612,291
0.7521,685
0.4048,733
0.2710,702
0.2001,754
1.0182,17
2.9303,85
1.9112,212
1.9065,786
2.1376,333
1.8183,44
2.6922,319
0.4174,790
1.0178,91
0.1631,634
1.8359,91
0.8863,518
0.5779,570
0.8522,585
2.8326,781
2.4312,26
0.2024,18
2.1655,519
0.4553,495
2.4502,236
2.7858,626
1.1430,840
2.7376,804
2.9384,376
2.6309,213
2.8409,233
0.3363,152
2.6841,68
2.5403,713
1.9532,72
0.2982,533
2.0733,957
1.0942,958
1.3171,982
2.1908,161
1.9901,806
2.5533,917
2.8857,472
2.5799,102
2.7615,645
1.9416,548
2.3367,754
1.0272,481
0.6511,599
1.2261,470
1.2687,198
1.5983,182
0.2283,760
1.8834,999
0.0044,720
1.5305,829
0.2504,650
1.5516,236
1.3358,242
2.6098,358
0.8431,164
2.2416,858
1.5702,152
0.5601,294
1.9512,240
0.2552,685
0.7347,738
0.0891,813
1.0187,538
2.1437,325
0.3272,893
2.2359,413
2.0300,41
0.5124,635
1.5508,958
0.2881,509
0.7065,678
1.4209,519
2.8509,765
1.2357,105
1.0373,221
2.0989,441
2.2056,860
1.8251,295
1.8868,505
2.1940,575
0.0317,789
1.1237,753
0.7804,376
1.2932,922
1.3075,825
2.3688,423
1.5338,514
1.3981,865
0.4295,728
2.9441,148
1.7568,236
1.2893,545
2.0905,792
2.6703,89
1.8514,219
2.9372,627
2.9894,19
2.8736,195
1.1955,776
1.9730,823
2.3269,365
2.7698,567
2.4481,143
1.8872,496
1.7714,723
0.7474,581
2.3212,186
1.0624,727
1.5393,856
0.6301,499
0.1714,912
0.5303,859
1.1178,569
0.8816,360
0.3083,560
1.8264,823
2.8602,13
0.5416,833
1.3607,481
0.3120,697
2.9064,533
2.9984,584
1.9939,337
2.2538,355
1.8718,115
2.1132,816
0.0535,317
2.5204,174
1.9809,873
2.9319,487
1.5787,958
0.1769,336
2.5545,246
2.2023,826
1.1640,664
0.6662,686
2.6728,657
1.4962,35
2.8613,390
2.9734,233
1.8363,789
2.0832,830
1.5063,315
1.4343,190
1.3216,198
0.5308,288
2.7517,355
1.6012,609
0.8642,527
1.4687,368
2.8758,767
0.8635,600
2.9093,751
2.9276,942
0.0372,432
0.5445,517
0.6759,997
2.4895,501
2.5823,954
1.3542,963
1.7013,815
2.9109,670
2.0787,548
2.2786,685
0.6693,937
2.2595,649
1.3183,795
0.1948,300
1.8964,673
2.2274,300
2.7457,556
2.2637,834
2.7815,335
0.2020,878
0.9121,836
1.7774,64
1.0872,475
1.5694,112
2.7255,80
2.0247,791
0.0828,932
0.1096,164
2.7180,112
2.5189,199
1.3690,325
0.5817,292
2.1251,976
1.1648,243
1.4634,149
2.8420,64
2.0354,172
2.8226,291
1.7312,367
1.9301,373
2.7874,588
2.6301,844
2.9431,550
1.7008,667
1.4514,858
1.3170,662
0.8128,470
2.5079,122
1.2162,490
1.8278,622
2.0051,924
0.4116,648
2.1076,893
1.1445,327
0.7145,890
2.5388,325
1.3705,466
1.2723,971
1.7098,101
0.5179,55
1.7918,301
2.1986,325
2.5411,445
0.2147,584
0.6896,923
2.4050,517
1.3766,512
2.7111,554
1.3072,613
2.7168,340
1.9454,511
1.5279,541
2.3046,855
1.6199,426
0.9990,438
0.5127,505
1.6127,62
1.2761,743
1.5938,68
2.8287,515
2.1258,204
2.1643,111
0.5478,189
2.6926,605
2.4707,774
1.4513,594
0.5144,965
0.6744,98
1.3947,763
1.6034,260
2.1764,207
0.9776,723
2.4749,232
1.6287,308
1.3489,312
0.8351,248
0.0199,622
1.3301,136
1.6296,814
0.9281,353
1.4196,535
1.2176,118
0.8553,764
1.8091,595
0.2046,774
0.5824,862
1.3070,639
2.3602,78
0.5844,787
1.3473,85
2.4942,713
0.3049,305
0.3637,143
1.6291,424
0.9873,47
1.5003,905
2.0295,100
1.5097,502
2.8366,501
1.9042,245
1.8636,834
2.7367,939
0.3660,324
0.7000,934
1.9462,803
0.2018,558
0.2626,795
0.2204,372
0.3501,361
2.2333,578
0.0062,887
0.9726,111
2.9740,585
0.1657,539
1.7025,156
2.3237,426
1.6704,221
2.1224,336
2.3589,193
0.9592,752
1.1781,778
1.9073,250
0.0684,137
2.4291,117
0.4870,485
2.6427,112
1.4650,819
2.8596,890
0.9514,488
0.4106,306
1.0401,247
1.8899,193
2.1040,86
0.0340,68
1.9912,196
0.9780,601
1.7547,107
0.2146,270
2.6787,437
0.5116,157
0.2844,670
0.0077,517
0.5389,127
2.5466,392
0.1295,843
0.2032,420
1.0267,214
2.4629,784
1.6315,29
0.7663,839
2.7103,711
0.0044,563
0.6501,362
0.7089,772
2.0344,727
0.9051,694
2.6510,86
2.6667,711
2.4655,779
2.1249,716
0.3936,580
1.4416,366
1.3159,140
0.1858,435
0.4507,657
1.3865,719
0.4483,29
0.6066,978
2.4946,822
1.2346,800
2.4160,994
0.0398,276
0.8753,925
1.6525,149
0.7405,592
1.1436,930
1.6770,593
2.5711,46
2.7251,723
2.0459,860
0.7166,847
2.5896,738
2.9452,697
0.3365,875
1.9243,184
1.0810,796
2.4219,515
2.7391,260
0.4419,195
2.7582,359
1.2916,522
0.2276,611
2.8612,687
1.9511,929
1.7414,884
0.3235,697
1.7229,215
0.7970,132
1.0922,699
0.7470,50
2.2141,166
0.7722,769
2.2707,188
1.1119,713
0.1253,643
2.2331,312
0.2230,367
2.2210,585
1.8499,99
0.2501,244
0.8011,30
0.4913,146
2.1799,579
2.7089,26
0.9214,293
2.8656,824
2.4780,427
2.8166,291
1.4005,12
1.2241,999
1.2442,560
1.1326,735
2.6230,173
0.4164,549
1.6612,700
0.7576,632
2.5992,258
1.1964,452
0.7190,16
0.8676,552
2.5107,508
1.3772,102
0.8555,633
2.4857,906
0.3699,263
1.2124,226
0.8557,691
0.1809,385
1.1614,842
0.4634,441
0.9429,912
2.0462,990
0.8894,972
2.8509,621
1.1926,511
2.3527,335
0.1845,812
1.5375,616
0.7793,464
2.9968,920
0.6559,454
0.6001,254
2.6400,638
2.9134,775
1.6597,201
1.1474,474
2.3871,725
0.4563,568
1.4482,663
1.4380,994
0.4157,342
2.6175,729
0.1651,10
0.1693,362
1.5217,318
0.7803,451
1.5128,717
1.4422,813
1.3012,717
0.2454,496
0.6095,14
0.2792,325
0.5141,216
1.0446,489
2.1516,48
0.0336,833
0.4519,315
2.0593,219
1.8691,25
2.8869,566
0.9426,667
0.3868,631
0.8225,965
1.9623,748
0.7204,681
1.0833,255
1.2971,279
1.5103,754
2.9123,741
2.2293,765
1.8594,56
1.3788,726
2.1635,328
0.8438,936
1.8196,796
1.1387,933
0.8528,746
2.7476,699
2.8880,187
0.7011,248
1.4804,171
1.6415,363
2.5988,307
0.3719,817
0.2318,764
1.5466,537
2.7276,706
0.7949,329
2.4938,53
2.5457,551
2.2403,826
0.8830,151
2.2655,973
0.6659,964
1.3155,631
0.8538,115
0.3503,753
2.6215,411
0.0598,87
2.9110,535
0.2306,148
2.3237,501
2.4378,244
0.9089,134
2.8456,440
1.6987,100
1.4000,626
0.4725,413
1.9037,970
0.0077,19
1.3706,856
0.6233,655
2.1766,564
0.3066,229
1.7017,81
0.5248,268
2.7048,110
2.4241,388
1.1959,609
1.1920,808
0.6755,850
2.3725,634
1.4076,769
1.1755,544
1.9402,156
1.8266,577
1.8171,691
0.8037,332
1.1588,329
0.5787,93
1.0984,816
2.1899,438
2.7434,542
0.9796,583
0.4065,418
0.7605,932
0.7047,878
2.5159,939
0.4459,267
1.4777,23
1.4991,458
0.1685,603
2.3823,614
0.5091,186
2.9774,472
2.0210,135
2.0048,75
2.1969,790
2.3071,881
0.1499,444
1.4441,312
0.0846,809
0.2795,203
0.9507,601
1.3203,620
1.6364,887
0.9350,957
1.6224,228
1.2192,46
2.3202,274
1.4640,556
2.5124,116
1.0571,152
0.1688,760
0.6258,381
0.1317,298
2.8250,26
1.6575,523
2.4407,452
1.1196,605
1.2860,27
0.0467,482
2.0736,702
2.2997,902
1.2298,911
2.4453,522
1.3758,531
2.8421,304
2.1136,988
2.9470,77
2.9831,248
0.3527,285
1.1576,806
0.0275,384
1.3915,338
0.0333,840
0.4553,149
2.7444,554
1.6523,607
1.0614,808
2.8115,366
2.8494,99
2.8591,423
2.5255,802
0.6876,551
1.8591,851
2.6978,164
2.5874,591
2.8539,355
0.0113,250
0.0276,812
1.3899,359
2.9406,516
1.8926,845
1.6806,246
1.3403,66
0.3938,508
2.0484,482
1.8113,999
0.5383,305
2.8764,833
2.7692,95
0.3178,727
1.8653,258
0.1166,119
0.5897,911
1.0257,509
0.0510,532
2.3214,311
2.2143,947
1.4263,817
1.6522,295
0.5993,658
1.3903,566
0.5687,118
0.3340,317
1.8233,998
2.3441,28
0.3601,373
1.3985,648
2.3941,223
2.3986,693
1.8603,370
2.0217,224
0.2820,169
1.1165,554
0.5615,497
1.7316,488
0.6664,855
0.5726,377
0.0672,995
1.7165,204
1.6069,164
2.7164,972
0.5512,719
1.4601,237
0.6639,525
0.3899,130
1.8857,725
2.4877,987
0.9228,387
2.1165,815
1.1545,48
2.9236,118
0.2666,227
0.8493,865
0.0492,145
2.0362,435
0.6862,688
2.2041,615
1.7402,55
0.6351,864
2.6986,992
0.5813,626
1.5627,175
0.7282,393
0.5548,319
1.6917,912
0.7219,746
2.9057,754
0.6981,130
2.9867,885
0.0001,939
2.0931,772
2.9697,816
1.2923,51
1.5895,82
1.0217,493
1.2383,225
2.9704,328
2.7757,458
2.0679,821
2.3018,140
1.1467,441
2.5808,901
2.0008,52
0.3182,457
1.1143,850
0.3425,204
1.3172,897
0.9142,142
0.0188,448
0.3246,574
2.2498,208
0.1453,171
0.4783,174
2.0188,233
2.1474,171
2.1103,416
2.3272,201
2.1439,408
1.8200,500
0.7516,389
0.0441,224
1.7911,594
0.0311,201
0.4106,627
2.6016,38
2.9060,63
0.3022,509
2.9848,685
2.5778,181
0.2936,581
1.2693,588
1.8156,325
2.2697,817
0.0477,281
0.1588,500
1.3130,308
1.9450,983
2.7833,182
2.3311,391
2.4060,600
1.1320,49
2.3896,769
0.4882,549
2.5862,529
1.0354,388
1.8203,227
1.4673,813
0.8269,922
2.0569,815
1.7294,412
0.6021,116
0.1121,452
1.0973,936
2.0968,146
2.1175,604
1.4223,388
2.4590,127
2.3351,835
0.6529,824
0.5551,840
0.7084,597
0.1007,502
1.8819,673
1.5914,512
2.1050,671
0.7513,854
1.0596,959
0.1443,462
0.1622,61
2.8864,559
1.9639,742
0.9804,261
1.7623,320
1.7070,376
2.0417,141
2.3350,732
0.5242,437
1.0298,540
1.4651,37
0.3263,388
0.6790,876
0.5036,304
1.3651,454
2.6246,16
0.6442,904
0.4559,794
2.5692,508
2.0560,543
2.2328,210
2.1005,34
0.9494,397
0.2619,696
2.0400,138
1.9402,246
0.9569,786
2.3259,799
0.1711,974
2.6857,329
1.9395,857
1.0005,175
2.1292,487
2.3979,299
2.5726,627
1.0000,911
2.2769,319
0.9285,900
1.2470,3
0.3331,13
2.0934,16
1.7708,326
2.4846,330
0.2759,565
1.3452,394
0.8921,201
2.9870,560
2.4810,665
2.5075,208
0.6668,488
1.6587,752
0.0199,375
1.3388,682
1.3648,765
0.0745,819
2.4038,88
1.2604,338
0.5631,109
2.3382,652
1.8901,634
0.8350,997
1.1597,590
0.5334,893
2.2166,676
2.7942,535
0.0523,515
2.1762,65
2.1181,547
1.0482,203
0.4376,699
1.9397,327
2.1033,15
0.2569,408
2.8925,228
1.1870,618
1.0551,217
1.1344,835
2.3451,609
0.1318,448
2.8267,661
1.0881,509
0.7301,327
0.2521,686
0.8193,499
2.9504,110
2.1086,170
1.0373,924
0.9893,173
1.4386,395
0.6049,600
0.7670,358
0.3279,433
1.6419,887
1.3571,743
2.2929,980
0.0529,898
2.5120,93
2.0669,452
0.0218,752
1.6998,473
1.3829,945
1.4021,633
2.3420,828
0.8744,612
0.2638,699
0.7839,950
2.0593,48
1.0646,461
1.6497,951
0.7863,322
2.1808,333
2.8030,949
0.3265,512
0.1588,810
1.5660,33
2.0743,341
1.2990,778
0.4949,319
2.4913,601
0.2295,961
0.4790,234
1.1989,268
2.0260,37
0.2384,78
1.7598,310
2.1622,458
2.6618,16
2.1040,70
1.3469,670
1.9725,198
2.6447,103
0.9125,234
2.0316,944
2.8059,141
0.7357,482
0.4456,168
0.9987,72
1.4081,922
1.3282,13
1.8093,847
1.1368,753